location,sample date,Ammonium,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Dissolved oxygen,Nitrates,Nitrites,Orthophosphate-phosphorus,Total nitrogen,Total phosphorus,Water temperature
Achara,2010-10-14,       0.02,       2.46,       7.86,      10.09,       3.51,       0.02,       0.45,       5.67,       0.69,      13.86
Achara,2010-10-15,       0.02,       2.57,       8.57,      10.16,       3.62,       0.01,       0.49,       5.23,       0.73,      13.57
Achara,2010-10-16,       0.02,       2.69,       9.29,      10.23,       3.73,       0.01,       0.53,       4.79,       0.77,      13.29
Achara,2010-10-22,       0.15,       2.80,      10.00,      10.30,       1.45,       0.02,       0.14,       3.58,       0.17,      13.00
Achara,2010-10-23,       0.12,       2.77,       9.75,      10.58,       1.32,       0.03,       0.14,       2.83,       0.18,      10.75
Achara,2010-10-27,       0.10,       2.75,       9.50,      10.85,       1.20,       0.03,       0.15,       2.08,       0.19,       8.50
Achara,2010-11-02,       0.07,       2.73,       9.25,      11.12,       1.08,       0.03,       0.15,       1.33,       0.20,       6.25
Achara,2010-11-12,       0.15,       2.70,       9.00,      11.40,       1.01,       0.02,       0.29,       1.43,       0.31,       4.00
Achara,2010-11-13,       0.05,       2.30,       7.50,      11.25,       1.44,       0.03,       0.28,       1.93,       0.30,       3.50
Achara,2010-11-19,       0.11,       1.90,       6.00,      11.10,       1.81,       0.03,       0.46,       2.43,       0.57,       3.00
Achara,2010-12-08,       0.16,       2.30,       7.20,       8.10,       1.83,       0.05,       0.26,       2.80,       0.32,      23.00
Achara,2011-01-21,       0.10,       3.60,      10.00,      11.70,       1.11,       0.02,       0.03,       1.43,       0.07,       3.00
Achara,2011-01-22,       0.22,       2.70,       8.00,      11.40,       1.14,       0.02,       0.07,       1.67,       0.12,       4.00
Achara,2011-02-18,       0.14,       4.90,       0.00,      14.40,       1.10,       0.02,       0.06,       1.67,       0.16,       1.00
Achara,2011-03-18,       0.16,       3.40,       9.00,      12.30,       1.00,       0.03,       0.04,       1.59,       0.10,       7.00
Achara,2011-03-31,       0.04,       3.00,       0.00,      12.58,       1.06,       0.01,       0.03,       1.29,       0.07,       9.00
Achara,2011-04-08,       0.07,       4.40,      10.00,       6.60,       0.87,       0.04,       0.14,       1.61,       0.28,      25.00
Achara,2011-04-16,       0.00,       5.80,       9.00,       9.20,       1.33,       0.06,       0.17,       1.69,       0.28,      15.00
Achara,2011-04-22,       0.03,       1.90,       8.00,       9.40,       2.07,       0.02,       0.06,       2.19,       0.11,      15.00
Achara,2011-05-13,       0.11,       4.20,       8.00,       7.40,       0.99,       0.03,       0.14,       1.17,       0.28,      17.00
Achara,2011-05-27,       0.07,       4.40,       0.00,       8.60,       1.37,       0.06,       0.15,       1.72,       0.19,      22.00
Achara,2011-06-17,       0.04,       5.50,       9.00,      10.30,       1.69,       0.07,       0.20,       2.21,       0.26,      22.00
Achara,2011-07-14,       0.00,       4.20,       8.00,       9.80,       1.12,       0.01,       0.06,       1.50,       0.11,      23.00
Achara,2011-08-10,       0.08,       5.90,      11.00,       8.10,       0.46,       0.01,       0.03,       0.00,       0.06,      18.00
Achara,2011-09-07,       0.03,       1.60,      11.00,       7.90,       0.21,       0.02,       0.13,       1.00,       0.16,      23.00
Achara,2011-09-14,       0.00,       2.00,       0.00,       8.50,       1.03,       0.01,       0.06,       1.25,       0.12,      22.00
Achara,2011-09-28,       0.00,       1.70,       0.00,       7.60,       0.91,       0.01,       0.09,       1.28,       0.10,      23.00
Achara,2011-10-12,       0.09,       1.70,       0.00,      11.70,       1.93,       0.02,       0.05,       2.45,       0.08,       1.00
Achara,2011-10-13,       0.10,       1.70,      10.00,       9.10,       1.02,       0.01,       0.09,       1.47,       0.15,      13.00
Achara,2011-11-02,       0.22,       2.40,       8.00,      13.00,       1.14,       0.02,       0.06,       1.45,       0.06,       5.00
Achara,2011-11-06,       0.08,       4.30,       8.00,       7.10,       1.49,       0.01,       0.09,       2.15,       0.10,      23.00
Achara,2011-11-08,       0.03,       3.50,       0.00,       9.40,       1.28,       0.03,       0.15,       1.80,       0.17,      25.00
Achara,2011-11-11,       0.28,       3.00,       0.00,       9.80,       1.13,       0.07,       0.05,       1.72,       0.09,      12.00
Achara,2011-11-26,       0.04,       1.40,      13.00,      11.50,       1.45,       0.03,       0.15,       1.75,       0.23,      11.00
Achara,2011-12-15,       0.05,       2.20,       0.00,      11.80,       0.69,       0.01,       0.04,       0.00,       0.07,       8.00
Achara,2012-01-20,       0.15,       1.60,       0.00,      11.80,       1.12,       0.02,       0.06,       1.65,       0.09,       4.00
Achara,2012-01-21,       0.13,       1.50,       0.00,      11.60,       0.89,       0.02,       0.05,       1.45,       0.08,       2.00
Achara,2012-02-17,       0.10,       3.40,       0.00,      13.80,       0.99,       0.01,       0.02,       1.65,       0.03,       4.00
Achara,2012-03-15,       0.91,       3.60,      10.00,      12.50,       1.36,       0.02,       0.06,       2.43,       0.07,       4.00
Achara,2012-03-17,       0.32,       2.10,       0.00,      12.90,       1.10,       0.01,       0.02,       1.61,       0.02,       4.00
Achara,2012-04-21,       0.00,       3.40,      10.00,      10.20,       0.62,       0.01,       0.04,       1.06,       0.08,      14.00
Achara,2012-04-29,       0.00,       1.90,       0.00,       9.30,       1.59,       0.01,       0.08,       1.94,       0.13,      17.70
Achara,2012-05-19,       0.00,       1.80,       0.00,       9.40,       0.90,       0.02,       0.03,       1.40,       0.12,      12.70
Achara,2012-05-27,       0.15,       1.90,       0.00,       9.11,       0.73,       0.03,       0.02,       1.09,       0.11,      17.20
Achara,2012-06-16,       0.29,       3.40,      11.00,       7.20,       0.94,       0.06,       0.14,       1.31,       0.29,      25.00
Achara,2012-06-28,       0.07,       1.40,      12.00,       8.20,       0.94,       0.04,       0.06,       1.17,       0.15,      20.80
Achara,2012-07-12,       0.11,       2.00,       0.00,      11.50,       0.63,       0.01,       0.03,       1.00,       0.09,       8.00
Achara,2012-07-21,       0.04,       1.90,       0.00,       7.70,       0.59,       0.04,       0.00,       1.14,       0.02,      22.70
Achara,2012-08-07,       0.07,       1.80,      10.00,       8.90,       1.65,       0.05,       0.11,       1.83,       0.22,      22.00
Achara,2012-08-16,       0.00,       1.65,      11.00,       8.20,       0.90,       0.02,       0.06,       1.11,       0.07,      24.20
Achara,2012-08-26,       0.00,       1.50,      10.00,       8.40,       0.57,       0.01,       0.04,       1.00,       0.10,      22.30
Achara,2012-09-21,       0.00,       2.00,       0.00,       9.70,       0.40,       0.01,       0.02,       1.00,       0.07,      17.60
Achara,2012-09-27,       0.08,       1.40,       0.00,       8.90,       0.96,       0.02,       0.13,       1.14,       0.25,      16.60
Achara,2012-10-02,       0.28,       2.40,       0.00,      13.10,       0.99,       0.01,       0.05,       1.60,       0.09,       3.00
Achara,2012-10-12,       0.15,       2.60,      23.00,      12.40,       0.48,       0.04,       0.23,       1.00,       0.45,       5.00
Achara,2012-10-18,       0.04,       1.70,       0.00,      10.10,       0.73,       0.04,       0.05,       1.12,       0.10,      11.00
Achara,2012-10-21,       0.34,       2.60,      12.00,       9.50,       0.85,       0.05,       0.04,       1.28,       0.11,       8.80
Achara,2012-11-16,       0.11,       2.10,       0.00,       9.70,       0.83,       0.04,       0.05,       1.44,       0.14,      11.00
Achara,2012-11-22,       0.09,       2.70,      10.00,      11.00,       0.82,       0.02,       0.03,       1.00,       0.10,      11.40
Achara,2013-01-17,       0.11,       3.30,      12.00,      12.00,       1.29,       0.02,       0.05,       1.88,       0.11,       6.00
Achara,2013-02-15,       0.00,       2.20,       0.00,      13.30,       1.00,       0.01,       0.01,       1.18,       0.04,       3.00
Achara,2013-03-14,       0.04,       2.40,       0.00,      13.40,       1.07,       0.02,       0.01,       1.57,       0.04,       8.00
Achara,2013-05-16,       0.04,       2.30,      14.00,       8.20,       0.72,       0.02,       0.01,       1.07,       0.06,      12.00
Achara,2013-06-14,       0.07,       1.00,       0.00,       8.40,       1.02,       0.05,       0.04,       1.23,       0.11,      21.00
Achara,2013-07-18,       0.04,       2.60,       0.00,       7.20,       1.14,       0.00,       0.04,       1.41,       0.08,      26.00
Achara,2013-08-16,       0.03,       1.70,       0.00,       8.00,       0.45,       0.01,       0.02,       0.52,       0.03,      23.00
Achara,2013-09-21,       0.07,       2.10,       0.00,       7.40,       0.81,       0.03,       0.03,       0.98,       0.05,      20.00
Achara,2013-10-18,       0.00,       1.00,       0.00,       9.80,       1.31,       0.03,       0.02,       2.09,       0.05,      10.00
Achara,2013-11-15,       0.04,       2.00,       0.00,      11.00,       1.18,       0.05,       0.02,       2.03,       0.09,       7.00
Achara,2013-12-04,       0.04,       2.10,       0.00,      11.70,       0.89,       0.01,       0.00,       1.16,       0.02,      11.50
Achara,2013-12-13,       0.42,       1.90,       0.00,       9.90,       1.29,       0.05,       0.03,       2.26,       0.05,       8.00
Achara,2014-01-16,       0.43,       2.30,       5.00,      12.00,       0.98,       0.03,       0.02,       2.00,       0.11,       2.00
Achara,2014-02-15,       0.22,       4.00,       5.00,      15.10,       1.22,       0.02,       0.02,       1.87,       0.05,       1.00
Achara,2014-03-19,       0.00,       3.80,       5.00,      10.90,       0.94,       0.02,       0.01,       1.41,       0.02,      14.00
Achara,2014-04-18,       0.21,       1.30,       5.00,       9.00,       1.09,       0.03,       0.02,       1.79,       0.07,      11.00
Achara,2014-05-16,       0.05,       2.10,       5.00,       8.70,       0.69,       0.01,       0.01,       1.09,       0.03,      10.00
Achara,2014-06-20,       0.09,       3.00,      15.00,       8.30,       0.66,       0.02,       0.00,       1.02,       0.03,      21.00
Achara,2014-07-18,       0.04,       1.60,       5.00,       8.70,       1.33,       0.04,       0.03,       1.72,       0.06,      22.00
Achara,2014-08-16,       0.00,       2.50,      15.00,       9.60,       1.38,       0.02,       0.02,       1.56,       0.04,      20.00
Achara,2014-09-19,       0.03,       1.20,       5.00,       8.30,       2.63,       0.03,       0.03,       2.84,       0.04,      19.40
Achara,2014-10-17,       0.06,       0.50,      11.00,      10.30,       1.77,       0.04,       0.07,       1.98,       0.08,      16.00
Achara,2014-11-21,       0.15,       1.00,      13.00,      10.70,       2.04,       0.07,       0.03,       2.33,       0.04,      10.00
Achara,2014-12-12,       0.22,       2.30,      16.00,      11.80,       1.56,       0.02,       0.02,       1.99,       0.03,       1.00
Achara,2015-01-17,       0.32,       2.30,       5.00,      12.50,       1.75,       0.04,       0.03,       2.16,       0.05,       6.00
Achara,2015-02-21,       0.00,       3.10,       5.00,      13.30,       1.23,       0.01,       0.01,       1.43,       0.04,       3.00
Achara,2015-03-13,       0.05,       2.20,      18.00,      11.10,       0.93,       0.01,       0.01,       1.13,       0.03,       8.00
Achara,2015-04-18,       0.06,       1.40,      16.00,      10.70,       1.30,       0.02,       0.02,       1.62,       0.05,      12.00
Achara,2015-05-15,       0.21,       2.20,      17.00,       8.30,       1.71,       0.11,       0.02,       2.07,       0.02,      17.00
Achara,2015-06-20,       0.35,       2.50,      18.00,       7.60,       0.83,       0.06,       0.23,       1.26,       0.03,      23.00
Achara,2015-07-16,       0.06,       1.60,      17.00,       7.40,       0.89,       0.01,       0.02,       0.99,       0.03,      22.00
Achara,2015-08-22,       0.11,       1.50,      12.00,       7.60,       1.58,       0.15,       0.07,       2.06,       0.09,      23.00
Achara,2015-09-12,       0.18,       2.40,       5.00,      12.10,       1.35,       0.03,       0.01,       1.61,       0.03,      20.00
Achara,2015-09-18,       0.07,       1.30,      16.00,       7.30,       1.17,       0.04,       0.10,       1.48,       0.15,      17.00
Achara,2015-10-16,       0.07,       1.30,       5.00,       8.20,       1.85,       0.04,       0.04,       2.05,       0.05,      15.00
Achara,2015-11-20,       0.11,       1.10,       5.00,      10.00,       0.79,       0.03,       0.02,       1.01,       0.04,      11.00
Achara,2016-01-15,       0.13,       2.40,       5.00,      12.60,       0.94,       0.02,       0.02,       1.24,       0.04,       5.00
Achara,2016-04-16,       0.14,       2.80,       5.00,       9.90,       0.87,       0.03,       0.07,       1.14,       0.12,      13.00
Achara,2016-05-13,       0.16,       1.80,      12.00,       8.70,       1.11,       0.04,       0.03,       1.67,       0.07,      18.00
Achara,2016-07-16,       0.04,       1.20,      19.00,       8.20,       0.79,       0.02,       0.04,       0.95,       0.06,      26.00
Achara,2016-08-20,       0.06,       0.50,      12.00,       7.90,       0.39,       0.02,       0.03,       0.63,       0.06,      23.00
Achara,2016-09-16,       0.08,       0.50,      21.00,       8.00,       1.15,       0.04,       0.05,       1.28,       0.06,      21.00
Achara,2016-10-12,       0.11,       1.20,      13.00,      11.50,       0.82,       0.01,       0.02,       1.35,       0.08,       7.00
Achara,2016-10-22,       0.09,       0.50,      11.00,       8.80,       0.68,       0.02,       0.03,       0.93,       0.04,      15.00
Achara,2016-11-06,       0.05,       2.60,       5.00,      10.20,       0.97,       0.03,       0.04,       1.29,       0.04,      26.00
Achara,2016-11-19,       0.11,       0.50,      12.00,      10.40,       1.09,       0.04,       0.08,       1.27,       0.24,      12.00
Achara,2016-12-02,       0.06,       2.20,       5.00,      10.90,       0.94,       0.01,       0.01,       1.19,       0.02,       7.00
Achara,2016-12-03,       0.04,       1.60,       5.00,      11.30,       1.08,       0.01,       0.01,       1.18,       0.03,      10.00
Boonsri,2009-01-29,       0.41,       2.13,       8.56,      10.82,       1.06,       0.02,       0.03,       1.20,       0.04,       4.00
Boonsri,2009-02-14,       0.65,       2.11,       8.85,      11.25,       1.48,       0.03,       0.03,       1.23,       0.07,       6.00
Boonsri,2009-02-27,       0.37,       1.87,       7.74,      11.12,       1.30,       0.03,       0.14,       1.25,       0.20,       5.00
Boonsri,2009-03-19,       0.37,       1.55,       9.05,       9.91,       1.36,       0.02,       0.02,       1.28,       0.03,      11.17
Boonsri,2009-04-05,       0.30,       1.55,       6.84,       7.89,       0.77,       0.11,       0.01,       1.30,       0.03,      18.00
Boonsri,2009-04-23,       0.08,       1.73,       9.27,       9.01,       0.80,       0.01,       0.03,       1.07,       0.08,      17.17
Boonsri,2009-05-21,       0.29,       1.55,       8.66,       6.71,       0.61,       0.04,       0.01,       1.12,       0.06,      20.67
Boonsri,2009-06-03,       0.98,       2.39,      10.29,      10.64,       1.32,       0.03,       0.11,       1.26,       0.18,       9.00
Boonsri,2009-06-25,       0.24,       1.19,      10.69,       5.73,       0.89,       0.03,       0.03,       1.40,       0.07,      27.67
Boonsri,2009-07-11,       0.05,       1.46,      10.97,       8.97,       0.57,       0.01,       0.08,       1.33,       0.12,       9.83
Boonsri,2009-07-23,       0.28,       1.28,       8.33,       6.78,       0.76,       0.01,       0.01,       1.26,       0.02,      26.83
Boonsri,2009-08-21,       0.18,       1.24,       8.65,       6.65,       0.69,       0.03,       0.02,       1.09,       0.10,      24.83
Boonsri,2009-09-09,       0.21,       0.93,       8.67,       6.17,       1.37,       0.02,       0.02,       1.93,       0.07,      18.60
Boonsri,2009-10-22,       0.23,       1.55,       8.22,       9.61,       1.07,       0.02,       0.03,       1.59,       0.10,       9.83
Boonsri,2009-11-01,       0.35,       1.86,       6.93,      11.08,       1.20,       0.02,       0.02,       1.53,       0.04,       6.00
Boonsri,2009-12-04,       0.14,       2.14,       7.95,      10.68,       1.11,       0.02,       0.06,       1.47,       0.11,      13.00
Boonsri,2009-12-06,       0.19,       1.57,       9.44,       6.13,       0.66,       0.03,       0.02,       1.05,       0.09,      24.50
Boonsri,2009-12-07,       0.30,       1.60,       9.27,       5.87,       0.57,       0.03,       0.03,       1.09,       0.04,      19.00
Boonsri,2009-12-13,       0.17,       1.45,      10.33,      10.94,       1.10,       0.02,       0.04,       1.10,       0.08,       3.50
Boonsri,2010-01-28,       0.16,       1.31,       7.87,      12.37,       3.36,       0.02,       0.05,       1.11,       0.10,       4.00
Boonsri,2010-02-18,       0.13,       2.19,      12.79,      12.76,       1.89,       0.01,       0.05,       1.12,       0.11,       1.00
Boonsri,2010-03-09,       0.30,       2.09,      10.23,      11.97,       1.18,       0.02,       0.24,       1.13,       0.33,      21.10
Boonsri,2010-03-12,       0.09,       1.98,       7.67,      11.17,       0.77,       0.02,       0.33,       1.14,       0.48,       7.27
Boonsri,2010-03-25,       0.14,       1.88,       5.11,      10.38,       1.89,       0.02,       0.82,       1.15,       0.99,       8.83
Boonsri,2010-04-11,       0.07,       1.83,       7.47,      10.14,       1.33,       0.02,       0.32,       1.15,       0.36,      14.50
Boonsri,2010-04-22,       0.08,       1.79,       9.84,       9.90,       1.42,       0.02,       0.04,       1.16,       0.07,      10.83
Boonsri,2010-05-19,       0.04,       1.85,      10.24,       8.80,       1.11,       0.01,       0.12,       1.17,       0.37,      18.83
Boonsri,2010-06-23,       0.22,       1.54,       9.22,       8.47,       1.01,       0.02,       0.09,       1.18,       0.16,      22.83
Boonsri,2010-07-24,       0.20,       1.49,      10.64,       6.71,       0.95,       0.02,       0.10,       1.19,       0.17,      22.17
Boonsri,2010-08-18,       0.37,       1.40,      13.23,       5.91,       1.85,       0.02,       0.24,       1.20,       0.30,      23.83
Boonsri,2010-09-12,       0.18,       1.51,      11.90,       6.51,       0.50,       0.01,       0.18,       1.21,       0.33,       6.27
Boonsri,2010-09-25,       0.35,       1.62,      10.58,       7.11,       0.90,       0.01,       0.04,       1.22,       0.07,      15.83
Boonsri,2010-09-29,       0.14,       1.56,      10.16,       7.60,       2.90,       0.02,       0.22,       1.23,       0.30,       6.33
Boonsri,2010-10-09,       0.50,       1.51,       9.75,       8.09,       0.87,       0.03,       0.24,       1.24,       0.29,      23.33
Boonsri,2010-10-15,       0.13,       1.45,       9.34,       8.57,       0.86,       0.01,       0.09,       1.25,       0.14,      16.00
Boonsri,2010-10-21,       0.03,       1.39,       8.92,       9.06,       1.17,       0.02,       0.29,       1.26,       0.35,      14.83
Boonsri,2010-10-28,       0.29,       1.41,       9.31,       9.24,       1.00,       0.01,       0.30,       1.26,       0.34,      13.83
Boonsri,2010-11-11,       0.15,       1.44,       9.70,       9.42,       1.04,       0.02,       0.36,       1.27,       0.48,      13.00
Boonsri,2010-11-18,       0.29,       1.46,      10.08,       9.60,       1.00,       0.02,       0.15,       1.28,       0.25,       6.03
Boonsri,2010-11-24,       0.23,       1.96,       9.88,      10.75,       1.24,       0.01,       0.37,       1.29,       0.40,       5.00
Boonsri,2010-12-16,       0.79,       2.46,       9.68,      11.90,       1.21,       0.00,       0.02,       1.30,       0.11,       3.00
Boonsri,2011-01-20,       0.50,       1.61,      10.00,      12.18,       0.83,       0.01,       0.37,       1.31,       0.57,       4.83
Boonsri,2011-02-17,       0.08,       2.78,      13.23,      11.96,       2.52,       0.01,       0.21,       1.32,       0.25,       2.17
Boonsri,2011-03-19,       0.08,       2.42,      13.10,      10.57,       3.12,       0.01,       0.11,       1.33,       0.14,       5.00
Boonsri,2011-04-02,       0.18,       1.86,       6.55,      10.07,       1.42,       0.01,       0.17,       1.34,       0.20,       8.00
Boonsri,2011-04-23,       0.07,       1.30,       0.00,       9.56,       1.04,       0.01,       0.19,       1.35,       0.25,      15.00
Boonsri,2011-05-18,       0.04,       1.40,       9.76,       8.67,       0.77,       0.02,       0.39,       1.36,       0.44,      20.00
Boonsri,2011-06-01,       0.29,       1.60,       9.87,       7.30,       1.12,       0.02,       0.23,       1.37,       0.43,       1.00
Boonsri,2011-06-23,       0.13,       1.80,       9.97,       5.93,       2.42,       0.01,       0.12,       1.38,       0.16,      22.17
Boonsri,2011-07-20,       0.08,       1.50,      12.21,       7.70,       1.36,       0.02,       0.21,       1.38,       0.23,      22.33
Boonsri,2011-08-18,       0.07,       1.24,      10.34,       7.54,       1.22,       0.02,       0.13,       1.39,       0.17,      25.50
Boonsri,2011-09-04,       0.06,       1.39,      10.33,       7.83,       2.79,       0.03,       0.28,       1.40,       0.48,      12.50
Boonsri,2011-09-28,       0.05,       1.54,      10.33,       8.13,       1.96,       0.03,       0.27,       1.41,       0.31,      21.17
Boonsri,2011-10-03,       0.13,       1.37,      10.44,       8.57,       1.57,       0.01,       0.17,       1.42,       0.20,       7.00
Boonsri,2011-10-26,       0.07,       1.20,      10.55,       9.01,       1.29,       0.02,       0.14,       1.43,       0.17,      12.00
Boonsri,2011-11-11,       0.08,       0.60,      10.67,       9.27,       1.57,       0.02,       0.15,       1.44,       0.18,      11.00
Boonsri,2011-11-26,       0.10,       0.00,      10.78,       9.53,       1.85,       0.02,       0.16,       1.45,       0.19,      10.00
Boonsri,2011-12-05,       0.14,       0.00,      10.45,       9.82,       0.88,       0.02,       0.14,       1.46,       0.21,      17.83
Boonsri,2011-12-14,       0.10,       0.00,      10.13,      10.11,       3.15,       0.02,       0.18,       1.47,       0.26,       6.50
Boonsri,2012-01-26,       0.10,       1.22,      13.33,      13.33,       3.00,       0.01,       0.11,       1.48,       0.13,       1.00
Boonsri,2012-02-15,       0.23,       3.00,      12.65,      13.06,       0.72,       0.02,       0.03,       1.49,       0.05,       1.30
Boonsri,2012-03-24,       0.06,       3.76,       2.73,      12.62,       1.79,       0.01,       0.05,       1.49,       0.10,       8.00
Boonsri,2012-04-15,       0.10,       3.00,      10.25,      10.07,       1.58,       0.02,       0.04,       1.50,       0.08,      11.83
Boonsri,2012-05-25,       0.07,       3.13,       7.79,       8.57,       1.11,       0.03,       0.08,       1.51,       0.11,      16.83
Boonsri,2012-06-17,       0.09,       3.00,      11.71,       7.41,       1.00,       0.03,       0.07,       1.52,       0.10,      23.33
Boonsri,2012-07-20,       0.08,       3.00,       9.43,       6.56,       0.87,       0.03,       0.06,       1.53,       0.09,      27.00
Boonsri,2012-08-23,       0.06,       3.00,       9.76,       6.89,       1.27,       0.02,       0.06,       1.54,       0.09,      24.00
Boonsri,2012-09-23,       0.08,       3.00,      10.84,       7.81,       1.19,       0.01,       0.05,       1.55,       0.09,      17.87
Boonsri,2012-10-05,       0.15,       3.00,      17.43,       8.18,       3.57,       0.03,       0.05,       1.56,       0.09,      18.00
Boonsri,2012-10-29,       0.07,       3.00,      10.33,       9.02,       1.19,       0.01,       0.05,       1.57,       0.22,       9.17
Boonsri,2012-11-17,       0.04,       3.00,       9.67,       9.69,       0.98,       0.01,       0.03,       1.58,       0.10,      10.00
Boonsri,2012-12-13,       0.09,       1.50,      10.61,      11.90,       0.89,       0.00,       0.03,       1.59,       0.10,       4.00
Boonsri,2013-01-17,       0.05,       0.00,      11.56,      11.81,       1.46,       0.00,       0.05,       1.60,       0.10,       2.00
Boonsri,2013-02-21,       0.15,       0.00,      10.17,      12.23,       1.72,       0.00,       0.03,       1.60,       0.10,       3.23
Boonsri,2013-03-15,       0.05,       0.00,      12.79,      11.68,       1.27,       0.01,       0.01,       1.61,       0.06,       6.33
Boonsri,2013-04-14,       0.10,       0.00,      13.75,       9.79,       1.18,       0.01,       0.01,       1.62,       0.08,      13.33
Boonsri,2013-05-17,       0.07,       1.15,       9.39,       8.80,       1.01,       0.02,       0.00,       1.33,       0.06,      17.83
Boonsri,2013-06-20,       0.07,       0.52,      10.06,       7.88,       0.80,       0.03,       0.05,       1.15,       0.09,      22.83
Boonsri,2013-07-19,       0.09,       0.00,       9.56,       7.47,       1.05,       0.02,       0.03,       1.51,       0.11,      25.83
Boonsri,2013-08-16,       0.00,       0.00,      11.15,       7.71,       1.04,       0.01,       0.03,       1.48,       0.12,      26.00
